,MDS_x,MDS_y,Entity,Code,Continent,tsne_x,tsne_y,scluster6,kmeans6
2595,4.845866452682997,2.2501108526108258,Singapore,SGP,Asia,5.751042,8.6183405,3,3
2610,5.629557260874647,-2.8619617288909796,Slovakia,SVK,Europe,12.370928,12.415191,2,1
2625,7.127353815138959,-3.8499698354272525,Slovenia,SVN,Europe,14.246701,14.437491,2,1
2640,-4.980601481371481,0.8808510595663184,Solomon Islands,SLB,Oceania,-9.074437,-9.415107,4,4
2655,-8.334333119659279,-1.048874462491386,Somalia,SOM,Africa,-14.700496,-11.137194,4,4
2670,-0.8502364111124382,1.2992973501277711,South Africa,ZAF,Africa,0.26714638,-0.9567359,0,2
2685,0.83827577100397,1.2980025823595545,South America,,,3.8619876,2.007098,0,2
2700,4.1530095520341535,2.501206296826602,South Korea,KOR,Asia,5.052751,7.888815,3,3
2715,-6.256602761526091,0.12647565562573995,South Sudan,SSD,Africa,-11.9833355,-10.367699,4,4
2730,-1.1277400763201406,1.3484075937992905,Southern Africa,,,0.0064460775,-1.2741178,0,2
2745,-1.2479446603965654,1.116702498497805,Southern Asia,,,-0.45473322,-1.3135974,0,2
2760,7.227671748142928,-3.602419576455183,Southern Europe,,,14.494557,14.131371,2,1
2775,6.976533504162684,-3.391504683180419,Spain,ESP,Europe,14.185101,13.690846,2,1
2790,1.6890605173714486,1.1024329544016325,Sri Lanka,LKA,Asia,4.8995605,4.037566,0,3
2805,-5.928607937288994,0.20975808763976186,Sub-Saharan Africa,,,-11.215489,-10.401438,4,4
2820,-5.7012916747880995,0.9108740720180579,Sudan,SDN,Africa,-10.619484,-9.353149,4,4
2835,-0.2357731583604413,2.436597415545182,Suriname,SUR,South America,2.7939668,-0.6991856,0,2
2850,7.244380140201362,-7.086198680560819,Sweden,SWE,Europe,16.452383,17.978827,5,5
2865,7.35280331727385,-5.618760048435985,Switzerland,CHE,Europe,16.048147,16.561934,5,5
2880,-4.175314728731921,3.036520073974248,Syria,SYR,Asia,-3.748157,-7.4501843,0,0
2895,4.073527094752972,2.866902069000688,Taiwan,TWN,,5.0292234,8.177048,3,3
2910,-3.272349901125041,0.2369462400801205,Tajikistan,TJK,Asia,-5.4038205,-4.2513385,0,0
2925,-6.389230784206085,0.5805057704205947,Tanzania,TZA,Africa,-11.798129,-9.888928,4,4
2940,2.566058616950008,2.8441951011855893,Thailand,THA,Asia,4.3444057,6.2362766,3,3
2955,-4.831961414982898,-0.6657022814876914,Timor,TLS,Asia,-9.187898,-11.701434,4,4
2970,-5.618289539659808,0.638148854687082,Togo,TGO,Africa,-10.423879,-9.824982,4,4
2985,-3.6853617523523616,2.0736193248256263,Tonga,TON,Oceania,-5.769161,-6.492161,0,0
3000,2.4984693954243715,1.353413199297512,Trinidad and Tobago,TTO,North America,5.849288,5.179727,3,3
3015,-0.16916210555405034,2.976452805547642,Tunisia,TUN,Africa,4.030533,-1.8422296,0,2
3030,0.2993000053581394,1.9832067496941106,Turkey,TUR,Asia,3.8513541,0.2618477,0,2
3045,-1.4596863728642735,0.5370193356198295,Turkmenistan,TKM,Asia,-1.1038722,-0.09273179,0,2
3060,-7.632735340355604,0.3469338083976351,Uganda,UGA,Africa,-13.607016,-10.06964,4,4
3075,7.077426085871188,-4.108633777648293,Ukraine,UKR,Europe,13.93306,14.9393425,2,1
3090,1.3966597932215106,3.6970210149636733,United Arab Emirates,ARE,Asia,1.4061908,2.9374883,1,2
3105,6.720761025681274,-6.690589229672012,United Kingdom,GBR,Europe,15.617269,17.969774,5,5
3120,5.296084108940255,-4.156510196294583,United States,USA,North America,13.455669,11.839943,2,1
3135,3.3623413836903637,1.1617247173262482,United States Virgin Islands,VIR,North America,5.879672,7.2000303,3,3
3150,4.345021336731263,-4.132854178701493,Uruguay,URY,South America,12.926529,10.928437,2,1
3165,-1.0940312906343392,0.5081350354789248,Uzbekistan,UZB,Asia,-0.8465724,0.074347876,0,2
3180,-4.156716457567776,1.9365017209012811,Vanuatu,VUT,Oceania,-5.8853245,-6.746698,0,0
3195,-0.4811663908100483,2.5049348486002,Venezuela,VEN,South America,2.431367,-1.2078617,0,2
3210,0.20267238683157124,1.051245839485261,Vietnam,VNM,Asia,0.56897,0.9628725,0,2
3225,-6.363979907386507,-0.28968236178118717,Western Africa,,,-12.192033,-11.08928,4,4
3240,-1.4470979644760529,1.2426400370587052,Western Asia,,,-0.6004171,-1.6821706,0,2
3255,-1.3381159810478114,1.6364281066189987,Western Sahara,ESH,Africa,-0.529615,-2.2305264,0,2
3270,0.974576075815584,-0.5239098320182242,World,OWID_WRL,,5.9433284,3.5021122,0,2
3285,-7.58901972813474,2.556287463688658,Yemen,YEM,Asia,-12.400647,-7.192842,4,4
3300,-6.718234565972004,0.918549018141034,Zambia,ZMB,Africa,-12.204526,-9.437891,4,4
3315,-4.557509177091369,2.4380042151740193,Zimbabwe,ZWE,Africa,-4.8527036,-7.6051064,0,0
